epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,4132.9,0.85674,0.4437,0.91968,0.91487,0.85765,0.94989,0.6411,1.16579,0.63096,1.19979,0.0004258,0.0004258,0.0004258
60,4199.95,0.85428,0.43805,0.93022,0.91526,0.84432,0.95542,0.75394,0.82905,0.58273,1.07886,0.0004159,0.0004159,0.0004159
61,4282.92,0.83014,0.42899,0.92466,0.93487,0.86832,0.95302,0.59285,1.40954,0.63057,1.30442,0.000406,0.000406,0.000406
62,4356.84,0.8145,0.4262,0.92447,0.92855,0.87168,0.9541,0.72538,0.89269,0.5434,1.08102,0.0003961,0.0003961,0.0003961
63,4431.69,0.83328,0.42781,0.92474,0.91892,0.87824,0.95118,0.6686,1.09888,0.56863,1.16527,0.0003862,0.0003862,0.0003862
64,4498.4,0.7923,0.41691,0.9138,0.94024,0.87125,0.95257,0.69218,1.00907,0.55236,1.1317,0.0003763,0.0003763,0.0003763
65,4568.07,0.81566,0.42843,0.92208,0.93328,0.89967,0.96918,0.77246,0.8059,0.50537,1.06378,0.0003664,0.0003664,0.0003664
66,4646.96,0.82816,0.42963,0.92387,0.92035,0.91112,0.96582,0.76396,0.80044,0.47716,1.05598,0.0003565,0.0003565,0.0003565
67,4730.18,0.78171,0.40468,0.91282,0.90651,0.87225,0.95533,0.64024,1.21429,0.61596,1.2126,0.0003466,0.0003466,0.0003466
68,4832.05,0.7923,0.41872,0.91426,0.92029,0.87175,0.9482,0.6317,1.2228,0.59259,1.20907,0.0003367,0.0003367,0.0003367
69,4901.64,0.79105,0.4153,0.9203,0.93756,0.90583,0.96383,0.75084,0.85134,0.49121,1.06152,0.0003268,0.0003268,0.0003268
70,5005.56,0.80797,0.42304,0.90674,0.93344,0.89723,0.963,0.75911,0.81181,0.5031,1.06469,0.0003169,0.0003169,0.0003169
71,5064.36,0.81289,0.41178,0.9197,0.91169,0.89282,0.95861,0.73475,0.88275,0.51904,1.08954,0.000307,0.000307,0.000307
72,5130.32,0.79778,0.40624,0.90613,0.92678,0.8998,0.9623,0.74904,0.84466,0.48873,1.07037,0.0002971,0.0002971,0.0002971
73,5203.75,0.75965,0.39182,0.90357,0.93433,0.91541,0.9645,0.67917,1.10032,0.52295,1.17165,0.0002872,0.0002872,0.0002872
74,5273.14,0.76979,0.39842,0.90543,0.90906,0.89217,0.95035,0.63752,1.1944,0.5972,1.20925,0.0002773,0.0002773,0.0002773
75,5343.56,0.78788,0.40326,0.91433,0.93561,0.91714,0.96892,0.71877,0.96775,0.50254,1.11141,0.0002674,0.0002674,0.0002674
76,5406.34,0.76174,0.39696,0.90561,0.94078,0.89451,0.96542,0.70372,1.00231,0.52685,1.1351,0.0002575,0.0002575,0.0002575
77,5471.85,0.76948,0.39339,0.90512,0.93054,0.89424,0.96133,0.72298,0.94415,0.53461,1.11214,0.0002476,0.0002476,0.0002476
78,5536.35,0.7746,0.4063,0.90702,0.93617,0.88927,0.96062,0.69753,1.04135,0.53472,1.15288,0.0002377,0.0002377,0.0002377
79,5653.78,0.75445,0.38909,0.89745,0.92114,0.90663,0.9584,0.71555,0.98526,0.51713,1.12918,0.0002278,0.0002278,0.0002278
80,5716.41,0.75424,0.39467,0.90158,0.91238,0.89846,0.9618,0.7696,0.79242,0.49498,1.0656,0.0002179,0.0002179,0.0002179
81,5782.85,0.7889,0.39881,0.90551,0.93128,0.91008,0.96764,0.74426,0.90162,0.49265,1.09669,0.000208,0.000208,0.000208
82,5849.17,0.75673,0.38649,0.90364,0.94099,0.89413,0.96661,0.77088,0.81683,0.47622,1.06508,0.0001981,0.0001981,0.0001981
83,5913.05,0.75208,0.38518,0.90686,0.93348,0.89997,0.95869,0.6967,1.05953,0.51615,1.15067,0.0001882,0.0001882,0.0001882
84,5975.67,0.74006,0.3821,0.90445,0.94221,0.90135,0.96355,0.75259,0.86367,0.48001,1.07405,0.0001783,0.0001783,0.0001783
85,6033.51,0.73274,0.37444,0.90111,0.94341,0.90867,0.96774,0.78936,0.7478,0.44094,1.04872,0.0001684,0.0001684,0.0001684
86,6099.94,0.75119,0.37862,0.90233,0.93189,0.90364,0.96341,0.68619,1.12062,0.542,1.15944,0.0001585,0.0001585,0.0001585
87,6165.05,0.72644,0.37831,0.89982,0.94572,0.90664,0.9644,0.73079,0.94106,0.48213,1.09865,0.0001486,0.0001486,0.0001486
88,6238.5,0.73542,0.37536,0.89371,0.94293,0.90945,0.9657,0.77565,0.79044,0.4468,1.06938,0.0001387,0.0001387,0.0001387
89,6323.45,0.73359,0.36686,0.89993,0.94795,0.90701,0.96418,0.73799,0.9175,0.47186,1.10152,0.0001288,0.0001288,0.0001288
90,6433.61,0.71347,0.36695,0.89471,0.94112,0.90958,0.96467,0.72936,0.94893,0.48025,1.10041,0.0001189,0.0001189,0.0001189
91,6511.76,0.71953,0.33522,0.9177,0.94112,0.91269,0.96194,0.73,0.94974,0.47692,1.10883,0.000109,0.000109,0.000109
92,6574.84,0.68831,0.31895,0.90435,0.93294,0.91852,0.96429,0.76147,0.83843,0.46872,1.06244,9.91e-05,9.91e-05,9.91e-05
93,6635.05,0.68911,0.32274,0.90577,0.92976,0.92144,0.96465,0.77084,0.8091,0.45174,1.06443,8.92e-05,8.92e-05,8.92e-05
94,6698.72,0.69473,0.32166,0.89966,0.93316,0.91667,0.9624,0.69656,1.06893,0.51128,1.14696,7.93e-05,7.93e-05,7.93e-05
95,6765.88,0.6838,0.31604,0.90605,0.93914,0.91718,0.96333,0.71964,0.99362,0.49859,1.12509,6.94e-05,6.94e-05,6.94e-05
96,6827.11,0.66493,0.31024,0.89558,0.93805,0.9132,0.96574,0.777,0.80461,0.45392,1.0601,5.95e-05,5.95e-05,5.95e-05
97,6891.69,0.6668,0.31293,0.90066,0.93679,0.91568,0.96664,0.76011,0.86559,0.46511,1.08588,4.96e-05,4.96e-05,4.96e-05
98,6963.52,0.65146,0.30481,0.89994,0.93041,0.91993,0.96591,0.74417,0.92231,0.47701,1.09118,3.97e-05,3.97e-05,3.97e-05
99,7023.44,0.65885,0.30777,0.90086,0.93283,0.92671,0.96618,0.74856,0.90961,0.46891,1.09297,2.98e-05,2.98e-05,2.98e-05
100,7106.97,0.6534,0.30657,0.89229,0.93113,0.92182,0.9656,0.75634,0.87436,0.45826,1.07994,1.99e-05,1.99e-05,1.99e-05
