epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2121.18,0.8771,0.51351,0.92141,0.92449,0.89382,0.96003,0.75012,0.87033,0.578,1.01135,0.0004555,0.0004555,0.0004555
57,2158.22,0.87442,0.50638,0.91772,0.94124,0.89131,0.96684,0.74796,0.91356,0.56851,1.01762,0.0004456,0.0004456,0.0004456
58,2199.19,0.88046,0.51127,0.92133,0.94169,0.90079,0.96627,0.77926,0.81831,0.5587,0.96449,0.0004357,0.0004357,0.0004357
59,2238.83,0.86289,0.49931,0.91036,0.93363,0.90351,0.96829,0.77917,0.79987,0.55594,0.96652,0.0004258,0.0004258,0.0004258
60,2268.52,0.85534,0.50274,0.91498,0.92158,0.90407,0.96205,0.7466,0.87603,0.57221,1.01505,0.0004159,0.0004159,0.0004159
61,2314.16,0.84689,0.49226,0.91627,0.90621,0.89262,0.95957,0.76263,0.83723,0.5873,0.97358,0.000406,0.000406,0.000406
62,2353.24,0.85425,0.4985,0.91819,0.9008,0.90381,0.95882,0.64174,1.25763,0.66006,1.13419,0.0003961,0.0003961,0.0003961
63,2399.48,0.83267,0.48683,0.91182,0.92189,0.89065,0.96258,0.78528,0.77022,0.57309,0.99344,0.0003862,0.0003862,0.0003862
64,2435.92,0.83065,0.48841,0.90642,0.92773,0.90029,0.96486,0.70929,1.03213,0.58775,1.00674,0.0003763,0.0003763,0.0003763
65,2467.55,0.85211,0.49466,0.91793,0.93299,0.89741,0.9623,0.76786,0.82868,0.53435,0.99502,0.0003664,0.0003664,0.0003664
66,2502.83,0.82066,0.48087,0.90636,0.91809,0.90103,0.96416,0.74801,0.88927,0.57307,0.97241,0.0003565,0.0003565,0.0003565
67,2543.51,0.81599,0.47533,0.91131,0.93204,0.90409,0.96058,0.76272,0.83463,0.5429,1.0023,0.0003466,0.0003466,0.0003466
68,2572.36,0.83212,0.49011,0.90791,0.90435,0.9146,0.95798,0.77097,0.79635,0.54467,0.99279,0.0003367,0.0003367,0.0003367
69,2608.78,0.83806,0.48102,0.91422,0.94569,0.89363,0.95853,0.70221,1.03395,0.58748,1.0547,0.0003268,0.0003268,0.0003268
70,2638.47,0.82891,0.4792,0.90455,0.93932,0.90992,0.96299,0.79505,0.73514,0.51515,0.95724,0.0003169,0.0003169,0.0003169
71,2671.57,0.81568,0.46978,0.90121,0.93059,0.9141,0.96542,0.76731,0.83753,0.53773,0.97821,0.000307,0.000307,0.000307
72,2705.85,0.81737,0.46119,0.90277,0.93201,0.91906,0.96587,0.77531,0.80914,0.5353,0.99776,0.0002971,0.0002971,0.0002971
73,2745.59,0.81412,0.46586,0.90462,0.94002,0.93123,0.96619,0.78565,0.77959,0.48903,0.98901,0.0002872,0.0002872,0.0002872
74,2777.82,0.81009,0.471,0.90599,0.94084,0.90278,0.96237,0.70343,1.04469,0.58446,1.07107,0.0002773,0.0002773,0.0002773
75,2823.39,0.82017,0.47123,0.90744,0.93561,0.91376,0.96923,0.7951,0.76708,0.51509,0.97562,0.0002674,0.0002674,0.0002674
76,2862.18,0.81868,0.46513,0.9028,0.93081,0.90029,0.96651,0.77071,0.83411,0.54161,0.97864,0.0002575,0.0002575,0.0002575
77,2906.22,0.80753,0.47018,0.90089,0.94836,0.90689,0.95959,0.71656,0.97788,0.56334,1.04648,0.0002476,0.0002476,0.0002476
78,2950.15,0.80656,0.45861,0.90145,0.94864,0.90261,0.97017,0.79612,0.77183,0.52907,0.97464,0.0002377,0.0002377,0.0002377
79,2983.26,0.7835,0.45864,0.89927,0.93807,0.91255,0.96964,0.78534,0.79154,0.51165,0.97286,0.0002278,0.0002278,0.0002278
80,3015.58,0.78659,0.45126,0.8972,0.93696,0.91702,0.96916,0.78547,0.79151,0.50595,0.97176,0.0002179,0.0002179,0.0002179
81,3048.14,0.78964,0.45394,0.90328,0.94266,0.91729,0.96539,0.74273,0.93729,0.53101,1.03667,0.000208,0.000208,0.000208
82,3087.54,0.78996,0.44837,0.89897,0.93303,0.92884,0.96997,0.76863,0.84612,0.51668,0.99766,0.0001981,0.0001981,0.0001981
83,3128.12,0.77316,0.44297,0.90113,0.93866,0.91597,0.96608,0.76344,0.86604,0.509,1.00758,0.0001882,0.0001882,0.0001882
84,3166.98,0.77896,0.44448,0.89747,0.91876,0.91251,0.96086,0.69476,1.08935,0.60131,1.07003,0.0001783,0.0001783,0.0001783
85,3203.57,0.778,0.44534,0.89958,0.92037,0.92225,0.96773,0.79282,0.76964,0.50929,0.97994,0.0001684,0.0001684,0.0001684
86,3242.78,0.7808,0.4399,0.89452,0.92229,0.91454,0.96532,0.78002,0.80694,0.5241,0.97114,0.0001585,0.0001585,0.0001585
87,3282.35,0.76066,0.43615,0.88983,0.93538,0.9208,0.9674,0.76812,0.85164,0.51651,1.00535,0.0001486,0.0001486,0.0001486
88,3317.43,0.77485,0.44188,0.89495,0.9235,0.92817,0.96722,0.77049,0.83662,0.5079,1.00188,0.0001387,0.0001387,0.0001387
89,3359.12,0.77665,0.4354,0.89199,0.93222,0.9228,0.9682,0.76934,0.84487,0.51229,1.00087,0.0001288,0.0001288,0.0001288
90,3399.42,0.75688,0.42401,0.8908,0.9394,0.91728,0.96879,0.77756,0.81052,0.49812,0.98847,0.0001189,0.0001189,0.0001189
91,3455.13,0.77798,0.39764,0.89836,0.93883,0.912,0.96214,0.72924,0.97328,0.54768,1.03136,0.000109,0.000109,0.000109
92,3492.61,0.74762,0.38787,0.89553,0.94714,0.91709,0.97005,0.79166,0.79878,0.49511,0.99541,9.91e-05,9.91e-05,9.91e-05
93,3535.58,0.7325,0.37746,0.89049,0.94536,0.91594,0.9654,0.74794,0.92982,0.52557,1.0244,8.92e-05,8.92e-05,8.92e-05
94,3574.61,0.71904,0.37214,0.88318,0.93667,0.9121,0.96574,0.73037,0.98716,0.55651,1.0447,7.93e-05,7.93e-05,7.93e-05
95,3612.9,0.71017,0.37421,0.88628,0.94139,0.91187,0.96724,0.77047,0.86199,0.51769,1.01285,6.94e-05,6.94e-05,6.94e-05
96,3654.55,0.71331,0.36842,0.88507,0.94164,0.91481,0.97074,0.79134,0.78853,0.48918,0.99234,5.95e-05,5.95e-05,5.95e-05
97,3695.81,0.70505,0.36892,0.88406,0.94106,0.9259,0.97009,0.76464,0.87115,0.49685,1.01264,4.96e-05,4.96e-05,4.96e-05
98,3730.24,0.70136,0.36367,0.88428,0.92755,0.93526,0.97034,0.76777,0.86967,0.49735,1.01114,3.97e-05,3.97e-05,3.97e-05
99,3771.62,0.70803,0.36408,0.88097,0.93346,0.93319,0.97224,0.7762,0.84369,0.48495,1.00487,2.98e-05,2.98e-05,2.98e-05
100,3813.16,0.69634,0.35687,0.87918,0.94923,0.91777,0.97196,0.78868,0.7939,0.47704,0.99133,1.99e-05,1.99e-05,1.99e-05
