timestamp,gpu_util_%,vram_used_mb,vram_total_mb,gpu_temp_c,power_w
12:15:16,79,2547,4096,64,61.46
12:15:26,80,2549,4096,63,59.96
12:15:36,67,2547,4096,64,62.61
12:15:46,99,2547,4096,64,62.84
12:15:57,99,2563,4096,62,36.68
12:16:07,75,2563,4096,63,61.71
12:16:17,57,1585,4096,63,57.13
12:16:27,72,2577,4096,64,59.89
12:16:37,54,1453,4096,64,60.63
12:16:47,74,2543,4096,63,62.38
12:16:57,98,2543,4096,64,62.12
12:17:07,70,2567,4096,64,61.39
12:17:17,76,2567,4096,64,63.11
12:17:27,88,2573,4096,64,61.60
12:17:37,99,2573,4096,63,63.18
12:17:47,95,2563,4096,64,62.10
12:17:57,76,2563,4096,64,61.28
12:18:07,71,2561,4096,64,40.54
12:18:17,74,2563,4096,64,61.84
12:18:27,64,1567,4096,62,55.88
12:18:37,74,2569,4096,63,61.65
12:18:47,75,2569,4096,63,64.06
12:18:57,90,2543,4096,64,63.07
12:19:08,99,2543,4096,64,62.07
12:19:18,71,2571,4096,64,61.18
12:19:28,55,2571,4096,63,59.54
12:19:38,98,2547,4096,64,62.49
12:19:48,93,2547,4096,63,61.44
12:19:58,92,2571,4096,64,63.03
12:20:08,95,2571,4096,63,61.15
12:20:18,72,2563,4096,61,38.59
12:20:28,73,2569,4096,63,61.68
12:20:38,82,1699,4096,63,55.87
12:20:48,99,2571,4096,64,62.23
12:20:58,73,2571,4096,64,62.00
12:21:08,99,2559,4096,63,62.04
12:21:18,82,2559,4096,63,60.74
12:21:28,71,2575,4096,64,63.27
12:21:38,84,2575,4096,64,61.86
12:21:48,87,2543,4096,63,62.75
12:21:59,99,2543,4096,64,61.70
12:22:09,92,2575,4096,62,43.34
12:22:19,72,2575,4096,64,63.09
12:22:29,68,1703,4096,62,57.63
12:22:39,92,2567,4096,64,62.33
12:22:49,84,1561,4096,62,58.18
12:22:59,94,2567,4096,64,60.87
12:23:09,71,2567,4096,62,61.18
12:23:19,73,2573,4096,64,63.08
12:23:29,71,2573,4096,63,62.26
12:23:39,64,2571,4096,64,60.24
12:23:49,74,2571,4096,64,60.83
12:23:59,99,2573,4096,64,61.51
12:24:09,74,2573,4096,63,61.63
12:24:19,74,2559,4096,63,36.37
12:24:29,72,2561,4096,64,58.86
12:24:39,54,1523,4096,63,51.95
12:24:49,87,2573,4096,62,62.53
12:25:00,70,2579,4096,64,61.30
12:25:10,99,2563,4096,62,62.53
12:25:20,88,2563,4096,64,60.81
12:25:30,99,2569,4096,62,63.01
12:25:40,68,2569,4096,63,61.60
12:25:50,69,2545,4096,64,62.29
12:26:00,70,2545,4096,64,62.38
12:26:10,90,2577,4096,63,63.02
12:26:20,68,2577,4096,63,61.56
12:26:30,49,1611,4096,62,55.59
12:26:40,73,2567,4096,63,61.51
12:26:50,68,1571,4096,63,61.46
12:27:00,90,2569,4096,64,63.23
12:27:10,5,2569,4096,62,59.60
12:27:20,87,2569,4096,63,61.02
12:27:30,65,2569,4096,63,62.50
12:27:40,68,2565,4096,64,61.17
12:27:51,78,2565,4096,63,61.63
12:28:01,68,2563,4096,63,61.63
12:28:11,70,2563,4096,64,61.84
12:28:21,93,2565,4096,62,39.07
12:28:31,75,2565,4096,63,61.25
12:28:41,68,1577,4096,62,50.85
12:28:51,99,2543,4096,64,61.19
12:29:01,78,2543,4096,63,61.14
12:29:11,99,2543,4096,63,60.91
12:29:21,86,2543,4096,62,61.38
12:29:31,0,1695,4096,55,9.88
12:29:41,0,1695,4096,53,9.39
12:29:51,73,2567,4096,61,59.36
12:30:01,78,1531,4096,61,60.77
12:30:11,62,2569,4096,61,55.23
12:30:21,76,2569,4096,62,62.62
12:30:31,68,2571,4096,61,60.82
12:30:41,84,2571,4096,62,55.57
12:30:52,99,2571,4096,62,61.09
12:31:02,68,2571,4096,62,61.81
12:31:12,93,2571,4096,63,58.63
12:31:22,99,2571,4096,63,61.12
12:31:32,72,2559,4096,63,58.61
12:31:42,99,2559,4096,63,59.22
12:31:52,20,2411,4096,58,38.15
12:32:02,93,2571,4096,62,62.97
12:32:12,93,1681,4096,61,51.89
12:32:22,60,2565,4096,63,60.79
12:32:32,98,2565,4096,63,62.63
12:32:42,76,2569,4096,63,58.61
12:32:52,93,2569,4096,62,62.51
12:33:02,99,2559,4096,63,61.99
12:33:12,69,2559,4096,63,58.59
12:33:22,82,1675,4096,61,53.47
