epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1959.24,0.76588,0.40158,0.88019,0.91085,0.86042,0.92964,0.48524,1.79037,0.78183,1.28761,0.0001288,0.0001288,0.0001288
90,1980.99,0.75956,0.39413,0.88149,0.88947,0.85951,0.92188,0.43449,1.98676,0.83718,1.38772,0.0001189,0.0001189,0.0001189
91,2019.08,0.73915,0.35981,0.88607,0.9081,0.84336,0.92259,0.45371,1.89584,0.80169,1.34632,0.000109,0.000109,0.000109
92,2040.6,0.73566,0.34604,0.88979,0.91355,0.86065,0.93102,0.49945,1.7328,0.75806,1.26491,9.91e-05,9.91e-05,9.91e-05
93,2062.39,0.72588,0.34278,0.88386,0.89852,0.85033,0.92537,0.44316,1.96338,0.81356,1.38009,8.92e-05,8.92e-05,8.92e-05
94,2083.94,0.72687,0.34879,0.88055,0.90783,0.84758,0.92727,0.47662,1.8267,0.78276,1.31167,7.93e-05,7.93e-05,7.93e-05
95,2105.74,0.71454,0.34373,0.88304,0.90447,0.85383,0.9289,0.47399,1.83784,0.80367,1.31349,6.94e-05,6.94e-05,6.94e-05
96,2127.23,0.70352,0.33474,0.8765,0.91655,0.86547,0.93415,0.48814,1.80727,0.78903,1.29532,5.95e-05,5.95e-05,5.95e-05
97,2148.92,0.70576,0.33774,0.87924,0.91501,0.86014,0.93135,0.47108,1.86446,0.79335,1.33149,4.96e-05,4.96e-05,4.96e-05
98,2171.32,0.68511,0.32958,0.87671,0.91355,0.85887,0.93419,0.4756,1.85823,0.80804,1.32862,3.97e-05,3.97e-05,3.97e-05
99,2193.21,0.68697,0.33124,0.87672,0.91026,0.85585,0.9295,0.45977,1.91109,0.81601,1.35105,2.98e-05,2.98e-05,2.98e-05
100,2214.72,0.69557,0.32948,0.87805,0.91776,0.86015,0.93588,0.48864,1.80242,0.77587,1.29714,1.99e-05,1.99e-05,1.99e-05
