timestamp,gpu_util_%,vram_used_mb,vram_total_mb,gpu_temp_c,power_w
18:49:57,100,3913,4096,61,46.02
18:50:07,100,3913,4096,61,47.26
18:50:17,99,3913,4096,61,47.50
18:50:27,100,3913,4096,62,45.85
18:50:37,100,3913,4096,61,44.27
18:50:47,100,3913,4096,61,44.57
18:50:57,100,3913,4096,61,47.15
18:51:07,100,2449,4096,63,64.48
18:51:17,100,3881,4096,61,45.72
18:51:28,83,3881,4096,60,42.46
18:51:38,92,3883,4096,59,41.28
18:51:48,81,3883,4096,60,42.85
18:51:58,100,3883,4096,60,44.90
18:52:08,99,3883,4096,62,46.00
18:52:18,100,3883,4096,61,46.52
18:52:28,100,3883,4096,60,40.40
18:52:38,100,3883,4096,60,45.89
18:52:48,100,3855,4096,60,44.88
18:52:58,100,3857,4096,61,46.06
18:53:08,100,3857,4096,60,43.70
18:53:19,100,3857,4096,60,44.05
18:53:29,100,3857,4096,61,45.52
18:53:39,88,3857,4096,60,45.61
18:53:49,100,3857,4096,60,43.84
18:53:59,100,3857,4096,61,45.49
18:54:09,100,2477,4096,63,64.28
18:54:19,100,3867,4096,61,42.68
18:54:29,98,3869,4096,61,43.72
18:54:39,100,3869,4096,60,42.39
18:54:49,99,3869,4096,61,44.52
18:54:59,100,3869,4096,60,44.41
18:55:09,100,3869,4096,61,43.40
18:55:20,100,3869,4096,60,43.43
18:55:30,82,3869,4096,59,42.90
18:55:40,100,2517,4096,63,47.58
18:55:50,100,3857,4096,60,42.28
18:56:00,100,3857,4096,60,42.22
18:56:10,100,3859,4096,59,41.70
18:56:20,100,3859,4096,59,41.93
18:56:30,100,3859,4096,59,40.53
18:56:40,100,3859,4096,59,40.90
18:56:50,100,3859,4096,59,41.61
18:57:00,100,3859,4096,60,43.34
18:57:10,100,3859,4096,61,44.19
18:57:20,59,2285,4096,60,48.46
18:57:30,100,3891,4096,60,45.45
18:57:40,100,3891,4096,60,45.94
18:57:51,100,3893,4096,60,44.53
18:58:01,100,3893,4096,60,45.25
18:58:11,100,3893,4096,61,45.71
18:58:21,99,3893,4096,61,46.42
18:58:31,100,3893,4096,61,44.58
18:58:41,66,2459,4096,62,64.13
18:58:51,99,3891,4096,61,45.96
18:59:01,100,3893,4096,60,43.33
18:59:11,74,3893,4096,60,45.33
18:59:21,100,3893,4096,60,43.72
18:59:31,100,3893,4096,61,47.23
18:59:41,100,3893,4096,61,44.11
18:59:51,100,3893,4096,60,44.00
19:00:01,100,3893,4096,60,43.76
19:00:11,100,3919,4096,60,42.88
19:00:21,99,3919,4096,61,47.67
19:00:32,99,3919,4096,61,47.10
19:00:42,100,3919,4096,60,44.78
19:00:52,100,3921,4096,60,42.82
19:00:56,99,3921,4096,62,47.69
19:01:06,100,3921,4096,60,43.54
19:01:16,100,3921,4096,60,44.71
19:01:26,97,2501,4096,61,43.26
19:01:36,100,3865,4096,61,45.31
19:01:46,100,3865,4096,61,47.19
19:01:56,100,3865,4096,62,47.15
19:02:06,100,3867,4096,60,44.17
19:02:17,99,3867,4096,62,46.62
19:02:27,100,3867,4096,61,44.70
19:02:37,100,3867,4096,60,43.78
